precdesc,age,aacong,conparty,conperct,conterms,aasenate,senparty,senterms,senperct,aavoter,gen2004,aa2004v,VAP3,BVAP3,bvperct,votperc,NBVAP,nbvote,nbvtpct,Nprecincts100
OAKWOOD,3,0,0,64,0,0,0,7,99,10,1009,7,1620,42,.16666667,.62283951,1504,1002,.66622341,.40000001
HEAVNERS,3,0,0,64,0,0,0,1,68,20,1319,18,2208,49,.36734694,.59737319,2035,1301,.63931203,.28999999
H01,3,0,1,72,4,0,0,0,65.09999999999999,167,1025,144,1902,242,.59504133,.5389064,1537,881,.57319456,.46000001
FS16,3,0,0,71,5,0,1,1,51.8,27,1253,22,2567,63,.34920636,.48811844,2436,1231,.50533664,.23
WESTPORT,3,0,0,64,0,0,0,1,68,38,1924,30,2164,40,.75,.88909429,2002,1894,.94605392,.28999999
PLEASANT R,3,0,0,70,5,0,1,6,53,366,858,293,2558,718,.40807799,.33541828,1804,565,.3131929,.46000001
SUMNER,3,0,0,73,10,0,0,1,60.2,107,1079,92,3958,662,.1389728,.27261242,3206,987,.30786026,.44
WISHARTS,3,0,1,72,4,0,1,4,99,128,1330,108,3928,393,.27480915,.3385947,3450,1222,.3542029,.41
005,3,0,0,70,5,0,0,1,66.7,134,1298,112,2267,164,.68292683,.57256287,1720,1186,.6895349,.46000001
NORTH LEES,3,0,1,72,4,0,1,14,54.6,60,500,49,922,90,.54444444,.54229933,833,451,.54141659,.25999999
TRAPHILL #,3,0,0,59,0,0,0,5,61.8,6,1157,6,2396,20,.30000001,.48288813,2330,1151,.4939914,.28999999
NORTH BURL,3,0,1,59,1,0,0,5,57.8,2006,1765,1285,4945,2727,.47121379,.3569262,2106,480,.22792023,.37
DOBSON #1,3,0,0,59,0,0,0,4,61.2,14,446,7,1040,51,.13725491,.42884615,975,439,.45025641,.28999999
RICEandSWAN,3,0,0,55,7,0,1,0,55.9,133,6840,111,11320,299,.37123746,.6042403,10576,6729,.63625187,.72000003
BOOKER CRE,3,0,1,64,9,0,1,4,65.7,127,1174,104,1936,170,.61176473,.60640496,1741,1070,.61458933,.43000001
WILSON P,3,0,0,71,5,0,1,2,60.1,134,1124,121,1592,186,.65053761,.70603013,1366,1003,.73426062,.25
037B,3,0,0,70,5,0,0,1,66.7,49,844,38,3043,88,.43181819,.27735788,2417,806,.33347124,.46000001
WHITES CRE,3,0,1,72,4,0,1,8,63.4,514,627,396,1183,668,.59281439,.53000844,503,231,.45924452,.17
TURKEY COV,3,0,0,55,7,0,1,1,49,1,453,1,841,9,.11111111,.53864449,856,452,.52803737,.17
LITTLE RIV,3,0,0,64,0,0,0,9,99,1,1668,1,3183,1,1,.5240339,3128,1667,.53292841,.23999999
MOREHEAD 4,3,0,0,71,5,0,1,2,51.7,6,1779,5,2089,23,.2173913,.85160363,1978,1774,.89686555,.34
023,3,0,0,70,5,0,0,1,66.7,101,1179,89,2174,158,.56329113,.54231828,1649,1090,.66100669,.46000001
WEST SHADY,3,0,0,59,0,0,0,1,60.2,26,997,23,1698,37,.62162161,.58716136,1533,974,.63535553,.14
WARSAW,3,0,1,72,4,0,1,6,54.5,1010,1716,803,4288,2054,.39094451,.40018657,2122,913,.43025449,.19
BOSTIC-SUN,3,0,0,64,0,0,1,4,52.4,33,1135,28,2104,74,.37837839,.53944868,2012,1107,.55019879,.23999999
016,3,0,0,70,5,0,0,1,66.7,92,1287,80,1772,112,.71428573,.72629797,1357,1207,.88946205,.46000001
ATLANTIC,3,0,0,71,5,0,1,2,51.7,1,370,1,685,1,1,.54014599,655,369,.56335878,.34
055,3,0,0,59,0,0,0,7,88.2,112,1794,100,2396,135,.74074072,.74874789,2163,1694,.78317153,1.01
FARMVILLE,3,0,0,71,5,0,0,1,50.9,1049,2439,802,5039,2120,.37830189,.48402461,2785,1637,.58779174,.38
EAST FORK,3,0,0,55,7,0,0,8,56.5,0,727,0,1287,0,,.56487954,1238,727,.58723748,.28999999
BEAVERDAM,3,0,0,55,7,0,1,1,49,126,5046,99,9188,200,.495,.54919457,8646,4947,.57217211,.28999999
062,3,0,0,59,0,0,0,7,88.2,116,1273,106,1567,158,.6708861,.81238037,1348,1167,.86572701,1.01
COKER HILL,3,0,1,64,9,0,1,4,65.7,70,871,60,1151,93,.64516127,.7567333,1043,811,.7775647,.43000001
FERG&MTPLEA,3,0,0,59,0,0,0,5,61.8,30,1513,26,2784,81,.32098764,.54346263,2652,1487,.56070888,.28999999
SOUTH ELEV,3,0,1,63,4,0,0,1,57.7,22,1055,17,2210,63,.26984128,.47737557,1869,1038,.55537719,.34
G37,3,0,1,59,1,0,1,3,56.2,439,1258,340,3165,858,.39627039,.39747235,2220,918,.41351351,1.59
G36,3,0,1,59,1,0,1,3,56.2,138,1183,100,2255,391,.25575447,.52461195,1795,1083,.60334259,1.59
LONG CREEK,3,0,1,72,4,0,1,14,54.6,226,689,175,1516,419,.4176611,.45448548,1004,514,.51195216,.17
GASTON DAY,3,0,0,70,5,0,1,6,53,119,1886,99,2872,139,.71223021,.65668523,2680,1787,.66679102,.46000001
OR1,3,0,0,73,10,0,0,2,84.7,84,1857,66,2089,87,.75862068,.88894206,1927,1791,.92942399,1.59
ELDORADO,3,0,0,55,3,0,0,1,64.7,7,322,5,1320,16,.3125,.2439394,1277,317,.24823806,.14
EFLAND,3,0,1,64,9,0,1,4,65.7,203,1098,182,1516,202,.90099013,.7242744,1296,916,.70679015,.43000001
CARRBORO,3,0,1,64,9,0,1,4,65.7,46,965,39,1452,88,.44318181,.66460055,1345,926,.68847585,.43000001
OXENDINE,3,0,1,72,4,0,1,4,99,63,507,55,1977,224,.24553572,.25644916,1710,452,.2643275,.41
LOVE MEMOR,3,0,0,64,0,0,0,1,68,17,794,14,1914,16,.875,.41483805,1789,780,.43599775,.28999999
ORE BANK,3,0,0,64,0,0,0,1,68,20,1082,19,1702,45,.42222223,.6357227,1562,1063,.68053776,.28999999
NANTAHALA,3,0,0,55,7,0,0,8,56.5,0,370,0,706,1,0,.52407932,688,370,.53779072,.15000001
HIGHTOWERS,3,0,1,59,1,0,0,5,57.8,306,579,257,1004,425,.60470587,.57669324,576,322,.55902779,.11
034,3,0,0,70,5,0,0,1,66.7,170,1671,151,3103,350,.43142858,.5385111,2252,1520,.67495561,.46000001
HEALTH CEN,3,0,0,70,5,0,1,6,53,564,1073,455,3818,1365,.33333334,.28103718,2405,618,.25696465,.46000001
LINCOLN,2,0,1,64,9,0,1,4,65.7,263,1037,209,3536,549,.38069215,.29326922,2947,828,.28096369,.43000001
01 - FREMO,3,0,0,71,5,0,0,1,57.7,372,1305,306,2668,691,.44283646,.48913044,1961,999,.50943398,.30000001
W03,3,0,1,72,4,0,0,0,65.09999999999999,613,940,482,2819,1665,.28948948,.33345157,1069,458,.4284378,.46000001
PINEY CREE,3,0,0,59,0,0,0,5,61.8,0,551,0,754,1,0,.73076922,730,551,.75479454,.17
PCT 93,3,0,0,70,5,0,0,4,65.2,74,1308,62,2138,89,.69662923,.61178672,1859,1246,.6702528,1.9
FOREST HEI,3,0,0,64,0,0,1,6,53,510,2246,428,6660,1017,.42084563,.33723724,5534,1818,.32851464,.46000001
PRECINCT 1,3,0,1,59,1,0,0,4,61.7,30997,130596,27582,186459,35350,.7802546,.70040065,132986,103014,.77462292,1.8200001
ENO,3,0,1,64,9,0,1,4,65.7,136,1640,117,2773,222,.52702701,.59141725,2516,1523,.60532594,.43000001
NORTH CARR,3,0,1,64,9,0,1,4,65.7,28,1715,22,1930,55,.40000001,.88860106,1850,1693,.91513515,.43000001
LIONS CLUB,2,0,1,64,9,0,1,4,65.7,255,1290,196,2442,387,.50645995,.52825552,2027,1094,.53971386,.43000001
032,3,0,0,59,0,0,0,7,88.2,184,1428,171,2174,204,.83823532,.65685374,1884,1257,.66719747,1.01
17,3,0,0,70,5,0,0,1,66.7,97,1518,86,3021,119,.72268909,.50248259,2374,1432,.60320133,.46000001
038A,3,0,0,70,5,0,0,1,66.7,296,2638,181,4915,362,.5,.53672433,3724,2457,.65977442,.46000001
22AND33,3,0,0,70,5,0,0,1,66.7,203,2850,168,4557,355,.47323942,.62541145,3437,2682,.78033167,.46000001
GRADY BROW,3,0,1,64,9,0,1,4,65.7,220,1896,186,3135,500,.37200001,.60478467,2599,1710,.65794533,.43000001
H20A,3,0,0,73,10,0,1,1,64,137,801,115,1705,202,.56930691,.46979472,1447,686,.47408432,1.59
BLUE SPRIN,3,0,0,55,3,0,1,4,99,280,433,232,1357,545,.42568809,.31908622,701,201,.28673324,.13
MILLERS,3,0,0,59,0,0,0,5,61.8,117,910,84,1689,132,.63636363,.53878033,1504,826,.54920214,.16
NORTHWEST,3,0,0,55,7,0,0,1,66.7,14,1129,11,2421,81,.13580246,.46633622,2200,1118,.50818181,.34999999
PATTERSON,3,0,1,64,9,0,1,4,65.7,141,2676,131,3217,258,.50775194,.83183092,2919,2545,.87187392,.43000001
COLUMBIA,3,0,0,71,5,0,1,10,66.59999999999999,270,897,196,2038,692,.28323698,.44013739,1352,701,.51849115,.059999999
WOLF PIT #,3,0,0,55,3,0,1,3,57.4,696,2442,592,5776,1144,.51748252,.42278394,4626,1850,.39991352,.16
066,3,0,0,59,0,0,0,7,88.2,79,1205,67,3107,127,.52755904,.38783392,2851,1138,.39915818,1.01
PRATHERS C,3,0,0,59,0,0,0,4,61.2,3,369,3,650,5,.60000002,.56769228,637,366,.57456827,.07
NEW CASTLE,3,0,0,59,0,0,0,5,61.8,39,734,29,1351,66,.43939394,.54330128,1260,705,.55952382,.28999999
CR07,3,0,0,71,5,0,1,1,51.8,418,2132,331,6733,1102,.30036297,.31664935,5478,1801,.32876962,.23
053,3,0,0,59,0,0,0,7,88.2,59,995,51,1186,98,.52040815,.83895445,1040,944,.90769231,1.01
KENWORTH,3,0,0,64,0,0,0,7,99,604,777,461,2422,1124,.41014236,.32080925,1237,316,.25545675,.40000001
POPLAR,3,0,0,64,0,0,1,1,49,0,163,0,287,0,,.56794423,285,163,.57192981,.090000004
TRIANGLE,3,0,0,64,0,0,0,1,68,76,501,62,731,98,.63265306,.68536252,597,439,.7353434,.28999999
018,3,0,0,70,5,0,0,1,66.7,27,1459,25,2024,33,.75757575,.72084981,1628,1434,.88083535,.46000001
JUDSON-VAN,3,0,1,72,4,0,1,8,63.4,552,2058,480,3576,851,.56404233,.57550335,2675,1578,.58990651,.64999998
PROVIDENCE,3,0,1,59,1,0,0,5,57.8,195,535,170,940,269,.63197029,.56914896,667,365,.54722637,.11
PCT 20,3,0,0,70,5,0,1,3,99,28,1409,17,2233,31,.54838711,.63098967,1999,1392,.69634819,1.9
702,3,0,0,59,0,0,0,7,88.2,63,1048,53,1923,136,.3897059,.54498178,1709,995,.58221179,1.01
901,3,0,0,59,0,0,0,7,88.2,33,1230,30,1760,63,.47619048,.69886363,1623,1200,.73937154,1.01
MULLS,3,0,0,64,0,0,1,4,52.4,45,1069,40,2333,93,.43010753,.45820832,2202,1029,.46730244,.28
ALBRIGHT,3,0,1,63,4,0,1,0,56.2,97,1029,80,2216,222,.36036035,.46435019,1738,949,.54602993,.23
PCT 73,3,0,0,70,5,0,0,4,65.2,73,1105,64,2106,80,.80000001,.52469134,1838,1041,.56637651,1.9
007,3,0,0,70,5,0,0,1,66.7,151,1435,131,2872,207,.63285023,.49965182,2180,1304,.59816515,.46000001
BELVILLE,3,0,1,72,4,0,1,14,54.6,476,2667,400,4038,789,.50697082,.66047549,2834,2267,.79992944,.23
808,3,0,0,59,0,0,0,7,88.2,438,1659,391,4586,844,.46327013,.36175317,3579,1268,.35428891,1.01
ATKINSON,3,0,0,55,7,0,0,1,66.7,4,1777,4,2543,4,1,.69878095,2386,1773,.74308467,.34999999
PCT 219,3,0,0,70,5,0,0,1,66.7,122,1244,111,2153,134,.82835823,.57779843,1832,1133,.61844981,1.9
SOUTH ONEA,3,0,1,63,4,0,0,1,57.7,93,1288,76,2948,240,.31666666,.43690637,2357,1212,.51421297,.34
806,3,0,0,59,0,0,0,7,88.2,66,1329,60,1973,84,.71428573,.67359352,1807,1269,.70226896,1.01
WESTWOOD,2,0,1,64,9,0,1,4,65.7,77,815,64,1627,122,.52459013,.50092196,1485,751,.50572389,.43000001
FP03,3,0,1,72,4,0,0,0,65.09999999999999,1,1047,1,1467,3,.33333334,.71370143,1355,1046,.77195573,.46000001
POPLAR BRA,3,0,0,71,5,0,1,10,66.59999999999999,92,1661,77,3352,266,.28947368,.49552506,2565,1584,.61754388,.11
FOREST CIT,3,0,0,55,7,0,1,4,52.4,790,3611,617,7935,1699,.3631548,.45507246,6179,2994,.48454443,.23999999
NORTH GRAH,3,0,1,59,1,0,0,5,57.8,635,1130,387,3419,871,.44431686,.330506,2419,743,.30715171,.37
WEST SILER,3,0,1,63,4,0,1,0,56.2,375,1455,302,3730,642,.47040498,.39008042,2692,1153,.4283061,.23
CASWELL,3,0,1,72,4,0,1,14,54.6,190,499,145,996,285,.50877196,.50100404,650,354,.54461539,.17
BENSALEM,3,0,0,73,10,0,0,1,54.4,213,1154,185,2611,554,.33393502,.44197625,1932,969,.50155282,.23999999
STANLEY #1,3,0,0,70,5,0,0,1,68,144,1506,109,3588,206,.52912623,.41973245,3316,1397,.42129073,.46000001
051,3,0,0,59,0,0,0,7,88.2,89,1699,76,3037,133,.5714286,.55943364,2778,1623,.58423328,1.01
SOUTH DAVI,3,0,0,73,10,0,0,2,99,1,664,1,1365,2,.5,.48644689,1309,663,.50649351,.41999999
SHINGLETRE,4,0,1,72,4,0,1,14,54.6,67,4532,56,6589,146,.38356164,.68781304,5620,4476,.79644126,.23
PINEDENE,3,0,0,73,10,0,0,1,54.4,78,2199,71,2959,131,.54198474,.74315649,2656,2128,.8012048,.23999999
ARTHUR,3,0,0,71,5,0,1,1,66.7,676,1700,566,3524,1108,.51083034,.48240635,2305,1134,.49197397,.38
BUXTON,3,0,0,71,5,0,1,10,66.59999999999999,0,589,0,1021,4,0,.5768854,916,589,.64301312,.16
PCT 76,3,0,0,70,5,0,0,4,65.2,66,2142,51,3404,73,.69863015,.62925971,3023,2091,.691697,1.9
133,3,0,0,59,0,0,0,7,88.2,148,2954,132,3823,168,.78571427,.77269161,3495,2822,.80743921,1.01
072,3,0,0,59,0,0,0,7,88.2,239,2913,210,4882,340,.61764705,.59668171,4344,2703,.62223756,1.01
ROXBORO 3,3,0,1,59,1,0,1,4,65.7,503,1030,411,2686,1113,.36927223,.38346985,1523,619,.40643466,.14
CHERRY LAN,3,0,0,59,0,0,0,4,61.2,6,693,4,1345,7,.5714286,.51524162,1321,689,.52157456,.07
OXFORD,3,0,0,64,0,0,0,7,99,73,2080,63,4143,88,.71590906,.50205165,3866,2017,.52172786,.40000001
MADISON,3,0,1,59,1,0,0,2,84.7,466,1485,384,2904,738,.52032518,.51136363,2153,1101,.51137948,.31
MARION #5,3,0,0,55,7,0,1,1,49,9,485,5,1323,30,.16666667,.36659107,1330,480,.36090225,.17
SW19,3,0,0,71,5,0,1,1,51.8,42,1854,39,3594,123,.31707317,.51585978,3376,1815,.53761846,.23
COLES STOR,3,0,1,64,9,0,1,4,65.7,47,1089,40,3143,345,.11594203,.34648424,2760,1049,.38007247,.43000001
PCT 33,3,0,0,55,3,0,1,3,99,379,1045,290,3810,1234,.23500811,.27427822,2338,755,.32292557,1.9
CHESTNUT G,3,0,0,59,0,0,0,4,61.2,13,1205,7,2063,19,.36842105,.58410084,2020,1198,.59306931,.2
G28,3,0,1,59,1,0,1,3,56.2,120,838,101,1441,138,.73188406,.58154058,1254,737,.58771932,1.59
KINGS MOUN,3,0,0,64,0,0,1,4,52.4,1160,4869,970,10346,1976,.49089068,.47061667,8228,3899,.47386971,.28
LOCUST HIL,3,0,1,59,1,0,0,5,57.8,808,1142,664,2105,1142,.5814361,.54251784,958,478,.49895614,.11
DUCK,3,0,0,71,5,0,1,10,66.59999999999999,4,293,4,447,6,.66666669,.65548098,398,289,.72613066,.16
CHICOD,3,0,0,71,5,0,1,1,66.7,206,2090,165,4107,520,.31730768,.50888729,3422,1925,.56253654,.38
LONGVIEW S,3,0,0,64,0,0,0,7,99,126,685,102,1415,188,.54255319,.48409894,1170,583,.4982906,.40000001
PCT 84,3,0,0,55,3,0,1,3,99,721,1208,601,3568,1211,.49628407,.33856502,2139,607,.28377748,1.9
ROCKINGHAM,3,0,0,55,3,0,1,3,57.4,1840,5623,1467,12116,3205,.45772231,.46409705,8898,4156,.46707126,.16
COLERIDGE,3,0,0,73,10,0,0,1,64.7,38,992,30,1711,95,.31578946,.5797779,1555,962,.61864954,.40000001
MAGNOLIA,3,0,1,72,4,0,1,6,54.5,409,740,337,2203,766,.43994778,.33590558,1365,403,.29523811,.19
PCT 118,3,0,0,70,5,0,0,4,65.2,149,1784,109,3079,164,.66463417,.57940888,2645,1675,.63327032,1.9
SOUTH LOCK,3,0,0,73,10,0,0,1,60.2,166,1897,134,3115,245,.54693878,.60898876,2792,1763,.63144702,.44
H09,3,0,1,72,4,0,0,0,65.09999999999999,97,2616,57,3503,117,.48717949,.74678844,3135,2559,.81626797,.46000001
PCT 140,3,0,0,70,5,0,0,4,65.2,249,2867,196,3599,274,.71532845,.79661018,3017,2671,.88531655,1.9
CASAR,3,0,0,64,0,0,1,4,52.4,0,815,0,1459,10,0,.5586018,1424,815,.57233149,.28
ROCKFISH,3,0,1,72,4,0,1,6,54.5,203,485,173,1050,409,.42298287,.46190476,609,312,.51231527,.19
G48,2,0,1,59,1,0,1,3,56.2,300,1555,217,3766,656,.3307927,.41290495,2994,1338,.44689378,1.59
JAM4,3,0,0,73,10,0,1,1,64,40,1428,35,1905,44,.79545456,.74960631,1792,1393,.77734375,1.59
JEF2,3,0,1,59,1,0,0,2,84.7,216,977,179,2072,282,.6347518,.4715251,1723,798,.46314567,1.59
EASTFRANK,3,0,1,63,4,0,1,6,53.9,972,1388,828,3211,1729,.47888952,.43226409,1319,560,.42456406,.17
064,3,0,0,59,0,0,0,7,88.2,65,745,54,1628,125,.43200001,.45761672,1437,691,.48086292,1.01
030,3,0,0,70,5,0,0,1,66.7,265,1753,233,3332,355,.65633804,.52611047,2435,1520,.62422997,.46000001
WEST INGRA,3,0,1,63,4,0,0,1,57.7,152,926,108,2221,293,.3686007,.4169293,1678,818,.48748511,.34
BOONE2&3,1,0,0,59,0,0,0,5,61.8,134,2543,102,6811,259,.3938224,.37336662,6597,2441,.37001666,.2
28 - INDIA,3,0,0,71,5,0,0,1,50.9,445,1528,386,4564,1113,.34681043,.33479404,3424,1142,.33352804,.30000001
H22,3,0,0,73,10,0,0,2,99,137,788,111,2011,277,.40072203,.39184484,1669,677,.40563211,1.59
10,3,0,0,55,3,0,1,3,57.4,430,948,339,2591,780,.43461537,.36588189,1800,609,.33833334,.1
FR5A,3,0,0,73,10,0,0,2,84.7,210,1024,71,3552,269,.26394051,.2882883,3160,953,.30158228,1.59
BUTNER,3,0,1,59,1,0,1,6,53.9,622,1580,558,8892,3877,.14392571,.17768781,4624,1022,.22102076,.14
EFORKROSMAN,3,0,0,55,7,0,0,8,56.5,2,1552,2,2604,11,.18181819,.59600616,2580,1550,.60077518,.18000001
H15,3,0,0,73,10,0,0,2,99,143,939,113,1907,186,.6075269,.49239644,1657,826,.49849126,1.59
PCT 6,3,0,0,55,3,0,1,3,99,907,1301,736,3716,1505,.48903653,.35010764,2007,565,.2815147,1.9
BROAD RIVE,3,0,0,55,7,0,0,1,66.7,1,843,0,1258,3,0,.6701113,1204,843,.70016611,.72000003
RUGBY,3,0,0,55,7,0,0,1,66.7,11,1273,8,2273,21,.38095239,.56005281,2117,1265,.59754372,.34999999
G10,3,0,1,59,1,0,1,3,56.2,1073,1456,899,3033,1501,.59893405,.48005274,1474,557,.37788332,1.59
CORINTH,3,0,1,59,1,0,1,6,53.9,460,1126,384,2465,861,.44599304,.45679513,1479,742,.50169033,.14
HAMBURG,3,0,0,55,7,0,0,8,56.5,0,708,0,1388,2,0,.51008648,1318,708,.53717756,.18000001
PCT 50,3,0,0,70,5,0,1,3,99,161,1115,114,3132,380,.30000001,.35600254,2498,1001,.40072057,1.9
SANDY RIDG,3,0,0,64,0,0,0,7,99,143,1940,113,4360,208,.54326922,.44495413,3959,1827,.46148017,.40000001
PILOT #2,3,0,0,59,0,0,0,4,61.2,25,1090,21,1806,54,.3888889,.60354376,1727,1069,.61899245,.28999999
SOUTHWHI,3,0,1,63,4,0,1,2,60.1,351,675,314,1190,571,.54991245,.56722689,599,361,.60267115,.25999999
EAGLE MILL,3,0,0,59,0,0,0,7,99,67,691,62,1523,147,.4217687,.45370978,1242,629,.50644124,.28999999
015,3,0,0,70,5,0,0,1,66.7,149,1622,116,2321,213,.54460096,.69883668,1724,1506,.87354988,.46000001
ORIENTAL,3,0,0,71,5,0,1,2,51.7,171,1155,134,1673,263,.50950569,.69037658,1424,1021,.7169944,.079999998
STONEY CRE,3,0,1,59,1,0,0,5,57.8,345,1109,300,2365,540,.55555558,.46892178,1816,809,.44548458,.11
WESTBROOK,3,0,1,72,4,0,1,6,54.5,88,873,77,1751,235,.32765958,.49857223,1466,796,.54297405,.23
PINEHURST,3,0,0,73,10,0,0,1,54.4,275,8185,235,10651,493,.47667342,.76847243,9539,7950,.83342069,.23999999
EAST SMITH,3,0,1,63,4,0,0,1,57.7,859,1338,666,3898,1536,.43359375,.34325296,2056,672,.32684824,.34
G22,3,0,0,73,10,0,1,3,56.2,98,1243,77,1484,102,.75490195,.83760107,1330,1166,.87669176,1.59
BAT CAVE,3,0,0,55,7,0,0,1,66.7,8,416,6,730,13,.46153846,.56986302,674,410,.60830861,.34999999
KINGS MILL,3,0,1,64,9,0,1,4,65.7,63,1456,60,1720,98,.6122449,.8465116,1599,1396,.87304568,.43000001
PCT 115,3,0,0,70,5,0,1,3,99,451,953,369,1947,497,.74245471,.48947099,1316,584,.44376901,1.9
43,3,0,0,55,3,0,0,1,66.7,402,426,317,2058,1146,.27661431,.20699708,746,109,.14611261,.46000001
12-04,3,0,0,55,3,0,0,7,66.2,164,1282,129,3856,621,.20772947,.33246887,2927,1153,.39391869,.43000001
SUM4,3,0,0,73,10,0,1,1,64,36,1341,31,2213,39,.79487181,.60596478,2092,1310,.62619501,1.59
CRAB CREEK,3,0,0,55,7,0,0,1,66.7,2,706,1,1122,4,.25,.62923354,1051,705,.67078972,.34999999
LELAND,3,0,1,72,4,0,1,14,54.6,463,1256,382,4080,1010,.37821782,.30784315,2678,874,.32636297,.23
STONEWALL,3,0,0,71,5,0,1,2,51.7,116,344,101,567,176,.57386363,.60670191,395,243,.61518985,.079999998
WEST ABERD,3,0,0,73,10,0,0,1,54.4,294,1541,247,2971,487,.50718683,.51868057,2333,1294,.55465066,.23999999
POLKTON,3,0,0,55,3,0,1,3,57.4,291,499,144,1024,321,.44859812,.48730469,707,355,.50212163,.11
ETOWAH SOU,3,0,0,55,7,0,0,1,66.7,16,1154,12,2074,27,.44444445,.55641276,1925,1142,.59324676,.34999999
PCT 38,3,0,0,70,5,0,1,3,99,197,1078,149,3513,454,.32819384,.30686024,2776,929,.33465418,1.9
PEE DEE,3,0,0,55,3,0,0,1,64.7,51,473,40,1054,89,.44943821,.44876659,945,433,.45820105,.14
HILLSDALE,3,0,0,59,0,0,0,1,60.2,32,1656,19,2083,52,.36538461,.79500723,1874,1637,.87353253,.14
SANDY MUSH,3,0,0,64,0,0,1,4,52.4,147,1078,119,2482,302,.39403972,.43432716,2160,959,.44398147,.23999999
BLUE RIDGE,3,0,0,59,0,0,0,5,61.8,10,2174,6,2934,22,.27272728,.74096799,2932,2168,.73942703,.2
G23,3,0,1,59,1,0,1,3,56.2,167,923,111,1694,336,.33035713,.54486424,1308,812,.62079513,1.59
CRICKET,3,0,0,59,0,0,0,5,61.8,0,946,0,2155,5,0,.43897912,2109,946,.44855383,.28999999
G60,3,0,1,59,1,0,1,3,56.2,504,912,381,3178,1131,.33687001,.28697294,1970,531,.26954314,1.59
NORTHEAST,3,0,0,55,7,0,0,1,66.7,54,1015,40,1927,88,.45454547,.52672547,1728,975,.5642361,.34999999
CAMERON PA,3,0,1,64,9,0,1,4,65.7,193,1486,166,1898,205,.8097561,.78292942,1670,1320,.79041916,.43000001
PG1,3,0,0,73,10,0,1,1,64,207,1169,181,2028,286,.63286716,.57642996,1677,988,.58914727,1.59
12-10,3,0,0,55,3,0,0,7,66.2,15,717,12,1167,28,.42857143,.61439592,1031,705,.68380213,.43000001
ROCKFORD,3,0,0,59,0,0,0,4,61.2,11,655,8,1375,19,.42105263,.47636363,1336,647,.48428145,.28999999
PINE SWAMP,3,0,0,59,0,0,0,5,61.8,14,955,11,1534,22,.5,.62255543,1466,944,.64392906,.17
G40A1,3,0,0,73,10,0,0,2,84.7,224,2008,89,2772,233,.38197425,.72438675,2444,1919,.7851882,1.59
ROCKY POIN,3,0,1,72,4,0,1,14,54.6,409,831,308,5128,1005,.30646765,.16205148,3772,523,.13865323,.17
NORTH MEAD,3,0,1,63,4,0,0,1,57.7,34,523,26,1080,70,.37142858,.48425925,879,497,.56541526,.34
SUM3,3,0,0,73,10,0,1,1,64,48,889,37,1628,72,.5138889,.54606879,1498,852,.56875837,1.59
032,3,0,0,70,5,0,0,1,66.7,106,1482,80,2381,154,.51948053,.62242752,1821,1402,.76990664,.46000001
G38,3,0,1,59,1,0,1,3,56.2,225,1461,192,2106,252,.76190478,.6937322,1784,1269,.71132284,1.59
AUTRYVILLE,3,0,1,72,4,0,1,6,54.5,121,960,100,1990,171,.5847953,.48241207,1759,860,.48891416,.23
MINERAL SP,3,0,0,55,3,0,1,3,57.4,500,1434,411,2756,871,.47187141,.52031928,1882,1023,.5435707,.16
G45,1,0,1,59,1,0,1,3,56.2,650,1283,514,4007,1165,.44120172,.32018965,2736,769,.28106725,1.59
LAUREL,3,0,0,59,0,0,0,5,61.8,0,162,0,354,0,,.45762712,343,162,.47230321,.17
WANCHESE,3,0,0,71,5,0,1,10,66.59999999999999,1,677,1,1298,4,.25,.52157164,1165,676,.58025753,.16
ELKIN #2,3,0,0,59,0,0,0,4,61.2,83,682,53,1455,166,.31927711,.46872851,1270,629,.49527559,.28999999
09 - WESTW,3,0,0,71,5,0,0,1,57.7,191,1354,158,4148,1351,.11695041,.32642236,2775,1196,.43099099,.30000001
068,3,0,0,59,0,0,0,7,88.2,110,1466,94,2027,178,.52808988,.72323632,1769,1372,.77557945,1.01
H07,3,0,1,72,4,0,0,0,65.09999999999999,786,3814,652,6253,1021,.63858962,.6099472,4844,3162,.65276629,.46000001
UNION,3,0,0,55,7,0,0,8,56.5,5,1475,4,2539,9,.44444445,.58093739,2468,1471,.59602916,.15000001
W11,3,0,1,72,4,0,0,0,65.09999999999999,12,1596,11,2072,19,.57894737,.77027029,1900,1585,.83421052,.46000001
THREE RIVE,3,0,1,63,4,0,1,0,56.2,309,1132,264,2049,507,.52071005,.5524646,1345,868,.64535314,.23
MAXTON,3,0,1,72,4,0,1,4,99,1172,1437,865,4074,1811,.47763667,.35272458,2208,572,.25905797,.41
010,3,0,0,55,3,0,0,1,66.7,319,646,257,1987,665,.38646618,.32511324,1081,389,.35985199,.46000001
ROSE HILL,3,0,1,72,4,0,1,6,54.5,553,1022,398,2233,722,.55124652,.45768026,1436,624,.43454039,.19
WEST GRAHA,3,0,0,73,10,0,0,5,57.8,154,566,81,1657,246,.32926831,.34158117,1339,485,.3622106,.37
PCT 70,3,0,0,70,5,0,0,4,65.2,15,1617,12,1978,18,.66666669,.81749243,1779,1605,.90219223,1.9
TRINITY TA,3,0,0,73,10,0,0,1,64.7,22,1919,20,3816,37,.54054052,.5028826,3636,1899,.52227724,.40000001
SHANNON,3,0,1,72,4,0,1,4,99,62,193,48,783,136,.35294119,.24648787,631,145,.22979398,.41
