respon,intrace,relgpref,cenreg,timezone,race,feminsult
683,White,Catholic,East,Eastern,White,Insult
684,White,Protestant,West,Pacific,White,Neutral
685,Asian,Protestant,South,Central,White,Neutral
686,White,Catholic,South,Central,White,Neutral
687,White,Other,West,Mountain,White,Insult
688,White,Protestant,Midwest,Central,White,Neutral
689,White,Protestant,Midwest,Central,White,Neutral
690,White,Protestant,Midwest,Central,White,Neutral
691,White,Catholic,South,Central,White,Insult
692,White,Protestant,Midwest,Central,White,Insult
693,Black,None,West,Pacific,Black,Insult
694,Black,None,West,Mountain,White,Insult
695,White,Protestant,South,Eastern,White,Insult
696,White,Catholic,East,Eastern,White,Neutral
697,White,Protestant,Midwest,Eastern,White,Insult
698,White,None,Midwest,Central,White,Neutral
699,White,Protestant,South,Eastern,White,Insult
701,White,None,South,Eastern,White,Neutral
702,Black,Protestant,South,Eastern,White,Insult
703,White,None,East,Eastern,White,Insult
704,White,Other,Midwest,Central,Black,Neutral
706,White,Protestant,West,Mountain,White,Neutral
707,White,Protestant,South,Central,Other,Compliment
708,White,Protestant,South,Central,White,Insult
709,White,Catholic,West,Mountain,White,Insult
710,Asian,Protestant,South,Eastern,White,Insult
711,White,None,West,Pacific,White,Neutral
712,White,Other,South,Central,White,Neutral
713,White,None,West,Mountain,White,Insult
714,Black,Catholic,West,Pacific,Asian,Insult
716,Black,Protestant,East,Eastern,White,Neutral
717,Black,None,Midwest,Central,White,Neutral
718,White,Other,East,Eastern,White,Neutral
719,White,Protestant,South,Central,White,Neutral
720,White,Catholic,West,Pacific,White,Insult
722,White,Protestant,Midwest,Central,White,Insult
723,Black,None,East,Eastern,White,Neutral
724,White,Protestant,East,Eastern,White,Neutral
725,Black,Protestant,South,Eastern,White,Neutral
726,Black,Catholic,South,Central,White,Neutral
727,Black,Protestant,South,Central,White,Neutral
729,Black,None,East,Eastern,White,Insult
730,Black,Protestant,Midwest,Central,White,Neutral
732,White,Protestant,South,Eastern,White,Insult
733,White,Catholic,Midwest,Eastern,White,Insult
734,White,Protestant,South,Eastern,White,Insult
735,White,Protestant,South,Central,White,Neutral
736,White,Protestant,South,Central,White,Insult
737,White,Catholic,South,Central,White,Insult
738,White,Catholic,East,Eastern,White,Neutral
739,White,Protestant,South,Central,White,Insult
740,White,Protestant,West,Pacific,Black,Compliment
741,Black,Catholic,Midwest,Central,White,Neutral
742,Black,Protestant,Midwest,Eastern,White,Neutral
743,White,Protestant,West,Pacific,White,Insult
744,White,Other,West,Pacific,White,Compliment
745,White,Protestant,West,Mountain,White,Insult
746,White,Protestant,South,Eastern,Other,Insult
747,White,Catholic,Midwest,Central,White,Insult
748,White,Protestant,West,Mountain,White,Neutral
749,White,Protestant,West,Mountain,White,Neutral
750,White,Protestant,South,Eastern,Other,Insult
751,Black,Catholic,West,Mountain,Other,Neutral
752,White,Catholic,South,Eastern,White,Neutral
753,White,Catholic,South,Central,White,Insult
754,White,Protestant,East,Eastern,White,Insult
755,White,Protestant,East,Eastern,Black,Insult
756,White,Protestant,East,Eastern,White,Compliment
757,White,Jewish,East,Eastern,White,Neutral
758,White,Catholic,East,Eastern,Other,Neutral
759,Black,Catholic,East,Eastern,White,Neutral
760,Black,Protestant,Midwest,Eastern,Black,Neutral
761,Black,Protestant,West,Pacific,White,Insult
762,White,Protestant,East,Eastern,White,Neutral
763,White,Protestant,West,Pacific,Other,Neutral
764,White,Protestant,South,Central,White,Insult
765,White,None,West,Mountain,White,Insult
766,White,Catholic,East,Eastern,White,Compliment
767,White,Other,West,Pacific,White,Neutral
768,White,Protestant,East,Eastern,White,Neutral
769,White,Catholic,Midwest,Central,White,Neutral
770,White,Protestant,South,Central,Black,Neutral
771,White,Protestant,West,Pacific,White,Insult
772,Black,Protestant,Midwest,Central,White,Compliment
773,White,None,Midwest,Eastern,Other,Neutral
774,Black,Protestant,Midwest,Central,White,Neutral
775,White,Protestant,Midwest,Central,White,Insult
777,White,Protestant,South,Eastern,White,Neutral
778,White,Protestant,West,Mountain,White,Neutral
780,White,Protestant,East,Eastern,White,Neutral
781,White,Protestant,South,Central,White,Insult
782,Black,None,South,Eastern,White,Neutral
783,Black,Protestant,Midwest,Central,Black,Neutral
784,Asian,Protestant,Midwest,Eastern,Black,Neutral
785,White,Catholic,South,Eastern,White,Neutral
786,Black,None,East,Eastern,White,Neutral
787,White,None,West,Pacific,White,Insult
788,White,Catholic,South,Eastern,White,Neutral
789,White,Protestant,South,Central,White,Neutral
790,White,Catholic,East,Eastern,White,Neutral
791,White,Catholic,West,Pacific,Other,Neutral
792,Black,Protestant,Midwest,Central,White,Neutral
793,White,Catholic,Midwest,Eastern,White,Insult
794,White,Catholic,West,Mountain,White,Neutral
795,White,Protestant,Midwest,Eastern,White,Neutral
796,Black,Protestant,West,Mountain,White,Insult
800,Black,Protestant,Midwest,Central,White,Insult
802,White,Catholic,Midwest,Eastern,White,Compliment
803,White,Protestant,Midwest,Central,White,Neutral
804,White,Catholic,South,Eastern,White,Insult
805,White,Protestant,South,Central,White,Insult
806,White,Catholic,Midwest,Central,White,Neutral
807,White,Catholic,South,Central,White,Neutral
808,White,Protestant,Midwest,Central,Other,Neutral
809,White,Protestant,Midwest,Central,White,Insult
810,Black,Protestant,South,Eastern,White,Neutral
811,Black,Protestant,South,Central,Black,Neutral
814,Black,Protestant,Midwest,Eastern,White,Neutral
815,Black,Jewish,South,Eastern,White,Insult
816,White,Protestant,South,Eastern,Black,Insult
817,White,None,South,Eastern,White,Neutral
818,White,Protestant,South,Central,White,Insult
819,Black,Protestant,South,Eastern,White,Neutral
820,White,Catholic,East,Eastern,White,Neutral
821,Black,Protestant,South,Eastern,Black,Compliment
822,White,Catholic,West,Pacific,Other,Insult
824,Asian,Protestant,South,Central,White,Neutral
825,White,None,West,Pacific,Other,Neutral
826,White,None,Midwest,Central,White,Neutral
827,Asian,Protestant,East,Eastern,White,Insult
828,White,None,East,Eastern,White,Insult
829,White,Catholic,West,Pacific,White,Compliment
830,White,Catholic,East,Eastern,White,Insult
831,Black,None,South,Eastern,White,Neutral
832,White,Other,West,Pacific,White,Neutral
834,White,Catholic,East,Eastern,White,Neutral
835,White,Protestant,East,Eastern,White,Neutral
836,White,Protestant,West,Mountain,White,Neutral
837,White,Protestant,Midwest,Central,White,Neutral
838,White,Protestant,West,Mountain,White,Neutral
839,Black,Protestant,South,Eastern,White,Neutral
840,White,Protestant,South,Eastern,White,Neutral
842,Black,Other,South,Eastern,White,Insult
843,White,Protestant,South,Eastern,White,Neutral
845,Asian,Protestant,East,Eastern,White,Neutral
846,White,None,South,Central,White,Neutral
847,White,Catholic,South,Central,White,Insult
848,White,Protestant,South,Eastern,White,Neutral
849,White,Protestant,South,Central,White,Insult
850,White,Protestant,Midwest,Central,Other,Insult
851,White,None,West,Pacific,Other,Insult
852,White,Protestant,East,Eastern,White,Insult
854,Black,Protestant,Midwest,Eastern,White,Neutral
855,Black,Protestant,Midwest,Central,White,Neutral
856,White,Protestant,South,Eastern,White,Neutral
857,White,Catholic,Midwest,Central,White,Insult
858,White,None,South,Central,White,Insult
860,White,Catholic,South,Central,White,Neutral
862,White,None,East,Eastern,White,Neutral
863,White,None,South,Eastern,White,Neutral
864,White,Other,East,Eastern,White,Neutral
866,White,Protestant,South,Eastern,Black,Neutral
867,White,Catholic,East,Eastern,Black,Neutral
869,Black,Catholic,East,Eastern,White,Neutral
870,White,Protestant,East,Eastern,White,Insult
871,White,Protestant,South,Eastern,White,Compliment
872,Asian,None,East,Eastern,White,Neutral
873,White,Protestant,West,Mountain,White,Insult
874,White,Protestant,Midwest,Central,White,Neutral
875,White,Protestant,East,Eastern,White,Neutral
876,White,Protestant,Midwest,Eastern,White,Neutral
877,White,Protestant,South,Central,White,Neutral
878,White,Protestant,South,Eastern,White,Neutral
879,White,Protestant,South,Central,White,Compliment
880,Black,None,East,Eastern,White,Neutral
882,White,Catholic,Midwest,Central,Other,Neutral
883,White,Protestant,Midwest,Central,White,Neutral
884,White,Protestant,Midwest,Eastern,White,Neutral
885,White,Protestant,Midwest,Eastern,White,Neutral
886,White,Protestant,South,Eastern,White,Compliment
887,White,Protestant,East,Eastern,White,Neutral
888,White,Protestant,West,Pacific,White,Insult
890,Black,Protestant,West,Pacific,White,Insult
891,White,Catholic,Midwest,Central,White,Insult
892,White,Catholic,South,Eastern,White,Neutral
893,Asian,Protestant,South,Eastern,White,Insult
894,White,Catholic,Midwest,Eastern,White,Neutral
895,White,Other,East,Eastern,White,Neutral
896,White,Protestant,South,Central,White,Neutral
897,White,Protestant,East,Eastern,White,Neutral
898,White,Protestant,South,Eastern,Black,Insult
899,White,None,South,Eastern,White,Neutral
900,White,None,South,Eastern,White,Neutral
901,White,Catholic,South,Eastern,White,Neutral
902,White,None,South,Eastern,White,Neutral
904,White,None,Midwest,Central,White,Neutral
905,Black,Protestant,West,Pacific,White,Neutral
906,White,Protestant,East,Eastern,White,Neutral
907,White,None,Midwest,Central,White,Neutral
909,White,Protestant,West,Pacific,Other,Neutral
910,White,Protestant,West,Pacific,Black,Neutral
911,White,Protestant,Midwest,Eastern,White,Neutral
912,White,Protestant,Midwest,Mountain,White,Neutral
913,Black,None,South,Central,Asian,Neutral
914,Black,None,South,Central,White,Insult
916,White,Catholic,South,Central,White,Compliment
917,White,Protestant,East,Eastern,White,Compliment
918,White,Protestant,West,Pacific,White,Insult
919,White,Catholic,South,Central,White,Neutral
920,White,Catholic,South,Eastern,White,Insult
921,White,Protestant,South,Eastern,White,Neutral
922,White,Catholic,South,Eastern,White,Neutral
923,White,Protestant,West,Mountain,White,Neutral
924,White,Protestant,South,Eastern,White,Neutral
925,White,None,West,Pacific,White,Neutral
926,White,Protestant,East,Eastern,Black,Compliment
927,White,Protestant,West,Mountain,White,Insult
928,White,Catholic,Midwest,Central,White,Insult
929,White,Catholic,East,Eastern,White,Insult
930,Black,Protestant,South,Eastern,White,Neutral
931,Black,Protestant,West,Pacific,White,Neutral
932,Black,Protestant,East,Eastern,Black,Neutral
933,White,Other,West,Pacific,White,Insult
934,White,Protestant,Midwest,Eastern,White,Neutral
935,Black,Catholic,South,Central,White,Neutral
936,White,Protestant,Midwest,Eastern,White,Insult
937,White,None,Midwest,Eastern,White,Insult
939,White,Protestant,Midwest,Eastern,White,Neutral
940,White,Catholic,East,Eastern,White,Insult
941,White,Other,Midwest,Eastern,White,Neutral
942,White,Catholic,East,Eastern,White,Insult
943,Black,Protestant,Midwest,Eastern,White,Insult
944,Black,Catholic,West,Pacific,Asian,Neutral
945,Asian,Protestant,South,Central,White,Neutral
946,White,Catholic,South,Eastern,White,Insult
947,White,Protestant,West,Pacific,White,Neutral
948,Black,Protestant,South,Central,White,Neutral
949,Asian,None,Midwest,Central,White,Neutral
950,White,Protestant,Midwest,Central,White,Neutral
951,White,Catholic,Midwest,Eastern,White,Neutral
953,White,None,Midwest,Eastern,White,Neutral
954,White,Protestant,East,Eastern,White,Neutral
955,Black,Protestant,South,Central,White,Compliment
956,White,Protestant,South,Eastern,White,Neutral
957,Black,Catholic,East,Eastern,White,Neutral
958,White,None,East,Eastern,Asian,Neutral
959,White,Protestant,East,Eastern,Other,Neutral
960,Black,Protestant,South,Eastern,White,Neutral
961,White,Protestant,West,Hawaii,White,Insult
962,White,Catholic,East,Eastern,White,Insult
963,White,Protestant,Midwest,Eastern,White,Neutral
964,Black,Protestant,South,Eastern,White,Neutral
965,White,Catholic,West,Pacific,Other,Compliment
966,White,Protestant,South,Central,White,Neutral
967,White,Catholic,South,Central,Black,Neutral
968,White,Protestant,Midwest,Eastern,White,Neutral
969,White,Catholic,Midwest,Central,White,Insult
971,Asian,None,South,Eastern,White,Insult
972,White,Catholic,Midwest,Central,White,Neutral
973,White,Protestant,South,Eastern,White,Insult
974,White,Catholic,South,Eastern,White,Neutral
975,White,Protestant,South,Central,White,Neutral
976,Black,Protestant,West,Mountain,White,Insult
977,Black,Protestant,Midwest,Central,White,Compliment
978,White,Protestant,South,Central,White,Neutral
979,White,Other,South,Central,Black,Neutral
980,White,Protestant,South,Eastern,Black,Neutral
981,White,None,South,Eastern,Black,Neutral
982,White,None,East,Eastern,White,Neutral
983,Asian,Protestant,Midwest,Eastern,White,Insult
984,White,Protestant,Midwest,Eastern,White,Neutral
985,Black,Protestant,Midwest,Central,White,Compliment
986,White,Other,West,Mountain,White,Neutral
987,White,Protestant,East,Eastern,White,Neutral
988,White,Protestant,East,Eastern,White,Neutral
989,White,Protestant,South,Eastern,White,Neutral
990,White,Protestant,South,Eastern,White,Neutral
991,Black,Catholic,South,Eastern,White,Insult
992,Black,Protestant,East,Eastern,White,Neutral
993,White,Other,East,Eastern,White,Neutral
994,White,Catholic,West,Pacific,White,Insult
995,White,Protestant,South,Eastern,White,Neutral
996,White,Protestant,South,Eastern,White,Insult
997,White,Protestant,South,Eastern,Black,Neutral
998,White,Protestant,South,Central,White,Insult
999,Black,Catholic,South,Central,White,Neutral
1000,White,Jewish,South,Eastern,White,Insult
1001,White,Protestant,Midwest,Eastern,Black,Neutral
1002,White,None,Midwest,Eastern,White,Neutral
1003,White,Protestant,South,Eastern,White,Neutral
1004,White,Protestant,West,Pacific,White,Compliment
1005,Black,Protestant,West,Mountain,White,Neutral
1006,White,Other,West,Pacific,White,Compliment
1007,Black,None,West,Mountain,White,Insult
1008,White,Protestant,West,Pacific,White,Neutral
1009,White,None,East,Eastern,White,Neutral
1010,White,Protestant,South,Eastern,Black,Neutral
1011,Asian,Protestant,West,Mountain,White,Neutral
1012,White,Catholic,East,Eastern,Black,Neutral
1013,White,Protestant,Midwest,Eastern,White,Insult
1014,Black,Protestant,Midwest,Eastern,White,Insult
1015,Asian,Protestant,South,Central,White,Neutral
1017,White,Protestant,West,Pacific,White,Neutral
1018,White,Catholic,West,Pacific,White,Compliment
1019,White,Protestant,Midwest,Eastern,White,Insult
1020,White,None,West,Pacific,White,Neutral
1021,White,Protestant,West,Pacific,White,Insult
1022,Black,Protestant,South,Eastern,Black,Neutral
1023,White,Protestant,Midwest,Eastern,White,Compliment
1024,White,Protestant,Midwest,Eastern,White,Neutral
1025,White,Protestant,South,Eastern,Other,Insult
1026,Black,Protestant,South,Eastern,White,Insult
1027,Asian,Catholic,South,Eastern,White,Compliment
1028,Black,Protestant,South,Eastern,White,Insult
1029,White,Protestant,East,Eastern,White,Neutral
1030,White,Catholic,West,Pacific,White,Neutral
1031,Black,Protestant,South,Eastern,White,Insult
1032,White,Protestant,South,Central,White,Neutral
1033,White,Catholic,West,Pacific,White,Neutral
1034,White,Protestant,East,Eastern,White,Neutral
1035,Black,Other,South,Eastern,White,Neutral
1036,Asian,Protestant,South,Central,White,Neutral
1038,Black,None,South,Central,White,Neutral
1039,White,Other,South,Eastern,Black,Insult
1040,Black,Protestant,Midwest,Central,White,Neutral
1041,Black,Catholic,Midwest,Central,White,Neutral
1042,White,Protestant,Midwest,Central,White,Neutral
1043,White,None,South,Central,White,Neutral
1044,White,Protestant,East,Eastern,White,Neutral
1046,White,Protestant,Midwest,Eastern,White,Insult
1048,White,Protestant,East,Eastern,White,Insult
1049,White,Protestant,West,Pacific,White,Insult
1050,Asian,Jewish,West,Pacific,White,Neutral
